I
1050 Generated by WorldEditor 1.6.0r1

1    668 0 0 GVSN PREGUICA
1302 city Preguiça
113  16.59393262 -024.28450454
110 2 0.00 0.0000 New Taxiway 87
111  16.59452576 -024.28465608
112  16.59435474 -024.28480621  16.59425023 -024.28484161
112  16.59411043 -024.28474531  16.59406156 -024.28470990
111  16.59375570 -024.28455848
111  16.58306351 -024.28395085
111  16.58306586 -024.28389457
111  16.58429974 -024.28368117
111  16.58430152 -024.28363601
113  16.59455066 -024.28422927
130 Airport Boundary 106
111  16.58918840 -024.28611694
111  16.58918905 -024.28601996
111  16.58882566 -024.28572564
111  16.58847778 -024.28539438
111  16.58689843 -024.28524350
111  16.58174693 -024.28490705
111  16.58103090 -024.28459138
111  16.58100682 -024.28242012
111  16.58932982 -024.28292196
111  16.59631557 -024.28337019
111  16.59635591 -024.28358065
111  16.59638617 -024.28490652
111  16.59626515 -024.28621135
111  16.59065569 -024.28590541
111  16.59062312 -024.28621840
111  16.59026973 -024.28617856
111  16.58987416 -024.28616169
113  16.58981918 -024.28615554
120 Linear Feature 96
111  16.59035515 -024.28580603 1
111  16.59034988 -024.28581014 1
111  16.59034594 -024.28580328 1
113  16.59035273 -024.28579962 1
120 Linear Feature 95
111  16.59041031 -024.28437288 1
116  16.59058898 -024.28418591  16.59072565 -024.28419328
120 Linear Feature 94
111  16.59008407 -024.28578812 1
111  16.59000384 -024.28578469 1
112  16.58993194 -024.28584895  16.58986048 -024.28584383 1
112  16.58987030 -024.28578236  16.58987303 -024.28579089 1
111  16.58987848 -024.28557518 1
112  16.58991721 -024.28554160  16.58994885 -024.28554501 1
111  16.59020648 -024.28555762 1
112  16.59035179 -024.28540272  16.59035808 -024.28523306 1
111  16.59041006 -024.28437242 1
116  16.59024747 -024.28416552  16.59011445 -024.28415419
120 Linear Feature 93
111  16.59007577 -024.28579441 1
111  16.59008448 -024.28578808 1
115  16.59007653 -024.28578136
120 Linear Feature 92
111  16.59061146 -024.28432423 3
112  16.59049102 -024.28446152  16.59048447 -024.28457899 3
111  16.59041085 -024.28590585 3
111  16.58979456 -024.28586670 3
111  16.58981341 -024.28549690 3
111  16.59012729 -024.28550476 3
112  16.59026630 -024.28535448  16.59027384 -024.28520499 3
111  16.59031651 -024.28444853 3
116  16.59022961 -024.28430317  16.59014138 -024.28426658
14  16.59012815 -024.28607692  82.02 0 New Tower Viewpoint 10
1300  16.59004192 -024.28578625 357.51 misc jets|turboprops|props Apron
1301 E none 
19  16.58165637 -024.28411861 1 WS
19  16.59487163 -024.28403737 1 WS
99
